capital_numerico,cnpj,descricao_google,email,facebook,instagram,linkedin,municipio_receita,nome_google,telefone,tem_cnpj,tem_receita,termo_busca,url,whatsapp
0,,"Matias Barbosa - MG , 0 Km de você.Localização: Centro Estamos em busca de um Auxiliar de Serviços Gerais / Limpeza para se juntar ao nosso time. É obrigatório ter experiência CO... Vagas semelhantes.",,,,https://br.linkedin.com/jobs/vagas-em-juiz-de-fora,,Vagas de Emprego de Ajudante de Serviços Gerais em Matias ...,,False,False,prestador de serviço Matias Barbosa MG,"https://www.infojobs.com.br/vagas-de-ajudante-servicos-gerais-em-matias-barbosa,-mg.aspx",
0,,...2019/2020 a venda Direção Hidráulica Teto Alto Ar Condicionado Cabine Leito Cambio Automático em SAO JOAQUIM DE BICAS MINAS GERAIS/ MG Olivério Caminhões.,sac@caminhoesecarretas.com.br,,,,,Caminhao Volkswagen Vw 25360 2019 380000 à venda | Caminhões...,(33) 99900-0022,False,False,autônomo Bicas MG,https://www.caminhoesecarretas.com.br/veiculo/sao-joaquim-de-bicas/mg/caminhao/volkswagen/vw-25360/2020/truck-6x2/cavalo-mecânico/olivério-caminhões/1328006,9900-0022
0,,"6.2 – Estará disponível a qualquer interessado um posto de atendimento para inscrição: 6.2.1 – Local: Prefeitura Municipal de Simão Pereira . Rua Duarte de Abreu, 90 – Centro – Simão Pereira - MG – CEP: 36.123-000.",,https://www.facebook.com/prefsimaopereira/mentions/,https://www.instagram.com/prefsimaopereira/,https://br.linkedin.com/in/joelma-coelho-85040312a,,Prefeitura municipal de simão pereira - mg,30823698060,False,False,comércio Simão Pereira MG,https://www.acheconcursos.com.br/imagens/anexo/47622/edital-saimao-pereira-mg-2023.pdf,3082369806
0,,Encontre passagem de ônibus barata para Bicas na BlaBlaCar.com.br. Veja os próximos horários e compre on-line.,,,,,,"Passagem de Ônibus para Bicas , MG | BlaBlaCar",,False,False,autônomo Bicas MG,https://www.blablacar.com.br/bus/destinations/bicas-2,
0,,"Bem-estar Matias Barbosa MG com o VIVALOCAL Matias Barbosa MG Brasil: mais de 400,000 CLASSIFICADOS GRÁTIS. Anuncie ou encontre serviços de estética com 2 cliques!",,,,,,"Massagem Matias Barbosa MG , drenagem linfática Matias ... - Vivalocal",,False,False,prestador de serviço Matias Barbosa MG,https://www.vivalocal.com/boa-forma/matias-barbosa,
0,,"Les données sur la météo: température, pluie/neige, vent, humidité, pression,... pour Santana Do Deserto .2. 3. Pollution de l'air à Santana Do Deserto aujourd'hui. Détail. 22.",,,,,,Météo Santana Do Deserto - MG 14 jours - tameteo.com | Meteored,,False,False,indústria Santana do Deserto MG,https://www.tameteo.com/meteo_Santana+Do+Deserto-Amerique+du+Sud-Bresil-Minas+Gerais--1-114760.html,
0,,Compre passagens de ônibus de Bicas para Maripa de Minas - MG sem sair de casa. São diversas opções de horários e viações para você escolher.,,,,,,Ônibus de Bicas para Maripa de Minas | Buson,,False,False,autônomo Bicas MG,https://www.buson.com.br/passagem-de-onibus/bicas-mg/maripa-de-minas-mg,
0,,"Os serviços prestados pela Primer são de qualidade e com muita transparência. Além disso, a Primer tem conhecimento de mercado e sabe orientar em diversas situações que aparecem no dia a dia dos condomínios.",comercial@primerservicos.com.br,,,https://br.linkedin.com/company/prime-terceirizaçao-de-serviços,,Primer Terceirização de Serviços,(31) 2571-6363,False,False,prestador de serviço Chácara MG,https://primerservicos.com.br/,(31) 2571-6363
0,51.300.019/0001-94,"Pesquise empresas em Juiz de Fora ( MG ) por CNAE, setor de atuação, porte, CEP, regime tributário e mais. Lista completa de empresas na Oportunidados!",contato+home@oportunidados.com.br,,,https://br.linkedin.com/in/vinicius-buettel-b3914315b,,Lista de Empresas em Juiz de Fora (MG) para Prospecção B2B,,True,False,empresa Juiz de Fora MG,https://oportunidados.com.br/empresas/minas-gerais/juiz-de-fora,
0,02.329.307/0001-66,"Matias Barbosa Empresarial Park Sul, 70 - Matias Barbosa - MG CEP: 36120-000 (32) 3273-5850 contato@petraagregados.com",contato@petraagregados.com,https://www.facebook.com/petraagregados/photos/,https://www.instagram.com/petraagregados/,https://www.linkedin.com/company/petraagregados,,Home - Petra Agregados,(32) 3273-5850,True,False,indústria Matias Barbosa MG,https://www.petraagregados.com/,(32) 3273-5850
0,,"Pesquise 520 Empresas em Santana do Deserto , MG . Quantas empresas existem, análise de mercado e listas de empresas com contatos, telefones, e-mails, endereços, quantidade de funcionários e faturamento.",,,,,,"Lista de Empresas em Santana do Deserto, MG - Econodata",(20430823000,False,False,empresa Santana do Deserto MG,https://www.econodata.com.br/empresas/mg-santana-do-deserto,(2043082300
0,,Estatísticas das 1.855 Empresas do Município: BICAS - MG Capital Social Atividade Principal Natureza Jurídica Quantidade de Filiais,,,,https://br.linkedin.com/company/vox2you-juiz-de-fora,,Estatísticas de Empresas do Município: BICAS - MINAS GERAIS,,False,False,comércio Bicas MG,https://casadosdados.com.br/empresas/localidade/mg/bicas,
0,,"Descubra uma oportunidade incrível para o seu negócio em um restaurante para alugar, localizado em Juiz de Fora , especificamente na charmosa região de Torreões, em Minas Gerais.",,,,,,Restaurante para Alugar em Juiz de Fora - MGF Imóveis - MGF Imóveis,,False,False,negócio Juiz de Fora MG,https://mg.mgfimoveis.com.br/restaurante-para-alugar-em-juiz-de-fora-aluguel-mg-juiz-de-fora-308972906,30897290
0,35.040.638/0001-30,"Encontre as melhores empresas de Comércio Atacadista em BICAS , MG . Encontre telefone, endereço, horários e avaliações no Quero Brasil.",,https://www.facebook.com/ecoflores.jf/,https://www.instagram.com/atacadaojuizdefora/,,,Comércio Atacadista em BICAS - MG - Quero Brasil,,True,False,comércio Bicas MG,https://querobrasil.com.br/mg/bicas/comercio-atacadista,
0,,"Mais de 44 fazendas/sítios à venda em Chácara , Minas Gerais. Acesse as melhores ofertas de venda de fazendas/sítios em Chácara .",,,,,,44 Fazendas/Sítios à venda em Chácara - MG - Viva Real,,False,False,comércio Chácara MG,https://www.vivareal.com.br/venda/minas-gerais/chacara/granja_comercial/,
0,,"O Empresarial PARK SUL, primeiro do gênero em Minas Gerais e um dos primeiros do Brasil, foi projetado atendendo exigentes padrões de planejamento urbano, arquitetura e paisagismo.",,https://www.facebook.com/61568968565066/,https://www.instagram.com/parksulempresarial/,,,Park Sul,,False,False,indústria Matias Barbosa MG,https://www.parksul.com.br/,
0,,"Veja mais sobre Térmica Indústria e Comércio de Embalagens na Rua Prfa.Corina Ersse, 200, Poço Rico, Juiz De Fora - MG .",relacionamento@apontador.com,,,,,"Térmica Indústria e Comércio de Embalagens - Poço Rico, Juiz De ...",32 3217-5672,False,False,indústria Juiz de Fora MG,https://www.apontador.com.br/local/mg/juiz_de_fora/embalagens/68HQSN79/termica_industria_e_comercio_de_embalagens.html,+55 32 3217-5672
0,,Encontre prestadores avaliados e preços justos para soluções práticas no seu dia a dia.,contato@jfconectaserv.com,,,,,Conectar serviços de qualidade em Juiz de Fora | JF ConectaServ,32 9844-0307,False,False,prestador de serviço Juiz de Fora MG,https://www.jfconectaserv.com.br/,+55 32 9844-0307
0,,"Acompanhantes Bicas - MG e região. As mais gatas acompanhantes ONLINE, de luxo e com local. Agende horário em apenas um clique.",,,,,,Acompanhantes econômicas em Bicas - MG,,False,False,autônomo Bicas MG,https://fikante.com/acompanhantes-bicas-mg/economicas,
0,,"4 days ago · Buy Billie Eilish tickets from the official Ticketmaster.com site. Find Billie Eilish tour schedule, concert details, reviews and photos.",,,,,,"Billie Eilish Tickets , 2025-2026 Concert Tour Dates | Ticketmaster",,False,False,comércio Simão Pereira MG,https://www.ticketmaster.com/billie-eilish-tickets/artist/2257710?msockid=047b5679e75d6c863a7040dde6f46db4,2025-2026
0,,"Possuímos o banco de dados com as informações mais atualizadas do mercado para a região de Matias Barbosa , inclusive com todas as empresas abertas recentemente.",contato@consultas.plus,,,https://br.linkedin.com/company/anetjf,,Lista de Empresas em Matias Barbosa / Minas Gerais » 2025,56222582000,False,False,indústria Matias Barbosa MG,https://consultas.plus/lista-de-empresas/minas-gerais/matias-barbosa/,5622258200
0,,"A Exposição Agropecuária e Industrial de Bicas , realizada no mês de julho, atrai visitantes de toda a região, sendo uma ótima ocasião para conhecer a graciosa cidade.",,,,,,Hotis e Pousadas em Bicas a partir de R$ 99!,,False,False,indústria Bicas MG,https://www.ferias.tur.br/cidade/2764/bicas-mg.html,
0,,"O prestador de serviço é um profissional que realiza tarefas na empresa mediante um contrato de prestação de serviços , ou seja, sem vínculo empregatício. O que vai reger essas tarefas não é a CLT ou um contrato de trabalho, mas sim as cláusulas da prestação de serviço .",,,,,,Qual a diferença entre contratado e prestador de serviço ?,,False,False,prestador de serviço Chácara MG,https://www.portalinsights.com.br/perguntas-frequentes/qual-a-diferenca-entre-contratado-e-prestador-de-servico,
0,,"Quais critérios usados para definir o Ranking das Maiores empresas de industria em Matias Barbosa , MG ? O cálculo das maiores empresas é baseado nas informações de faturamento anual, quantidade de funcionários e porte das empresas da referida região.",,,,,,"100 Maiores empresas de industria em Matias Barbosa, MG",(20430823000,False,False,indústria Matias Barbosa MG,https://www.econodata.com.br/maiores-empresas/mg-matias-barbosa/industria,(2043082300
0,,"Local de trabalho: Juiz de Fora - MG . Empresa . A White Martins é a maior empresa de gases industriais e medicinais da América Latina. Subsidiária da Linde plc, ela é sede do grupo para sete países do continente que abrangem mais de 5 mil colaboradores.",,https://www.facebook.com/groups/vagasemguarulhos/,,https://br.linkedin.com/jobs/unimed-juiz-de-fora-vagas-juiz-de-fora,,Vaga Estágio Técnico - Juiz de Fora / MG - Juiz de Fora ... | Vagas.com,,False,False,empresa Juiz de Fora MG,https://www.vagas.com.br/vagas/v2774970/estagio-tecnico-juiz-de-fora-mg,
0,,"Sep 17, 2025 · A medida vem para modernizar e auxiliar os prestadores de serviços do município de Chácara com um sistema de fácil utilização. Maiores informações acesse o link da Nota Fiscal Eletrônica ou entre em contato com o Setor de Tributação da Prefeitura – Servidor responsável Yan de Oliveira.",cac@chacara.mg.gov.br,https://www.facebook.com/prefeituradechacara/posts/687654866723828/,,,,Nota Fiscal de Serviços Eletrônica - chacara.mg.gov.br,,False,False,prestador de serviço Chácara MG,https://chacara.mg.gov.br/noticia/geral/08-04-2021/10/nota-fiscal-de-servicos-eletronica,
0,,"Encontre empresas da cidade de Matias Barbosa / MG , suas atividades, telefones, endereço, e-mail, sócios, data de abertura...",,,,,,"Lista de empresas em Matias Barbosa, MG - CNPJ Biz",,False,False,negócio Matias Barbosa MG,https://cnpj.biz/empresas/matias-barbosa-mg,
