abertura,capital_social,capital_social_filtrado,cidade,cnae_principal,cnaes_secundarios,cnpj,descricao_google,email,endereco_receita,nome_fantasia,nome_google,porte,razao_social,redes_sociais,segmento,status,telefone_receita,url
,,,Juiz de Fora MG,,,45.372.114/0001-09,"Presidente Itamar Franco, 3840/609 Juiz de Fora - MG; Funcionamento Seg a Sex: 9:00 às 19:00. Instagram Facebook Whatsapp. A Clínica; Equipe; Especialidades ...",,,,Grupo Borges – Estética Avançada,,,https://www.instagram.com/grupoborges_/,clínica estética,,,https://grupoborgesestetica.com.br/
10/06/2014,35000.00,3500000.0,Juiz de Fora MG,96.02-5-01,96.02-5-02,20.424.918/0001-75,Endereço: Rua Tavares Bastos 134 Alto dos Passos | Juiz de Fora MG; Telefone: 32 3212-4097; WhatsApp: 32 9 8881-9360; E-mail: contato@rhemaestetica.com.br ...,acr_contrh@yahoo.com.br,"RUA TAVARES BASTOS, 134 - SAO MATEUS - JUIZ DE FORA MG",,Rhema Centro de Estética: Centro de beleza completo em ...,MICRO EMPRESA,"RHEMA CABELO, MAQUIAGEM E ESTETICA LTDA",https://www.instagram.com/rhemaestetica/ | https://www.facebook.com/rhemaesteticajf/,clínica de estética,ATIVA,(32) 9109-7370 / (32) 8837-1605,https://www.rhemaestetica.com.br/
,,,Juiz de Fora MG,,,08.545.488/0001-44,Mais de 30 anos de experiência em medicina estética e tratamentos corporais e faciais em Juiz de Fora. Espaço moderno e tratamentos com tecnologia de ponta.,,,,Persona Estética: Medicina estética em Juiz de Fora,,,https://www.facebook.com/personajf/ | https://www.instagram.com/personajf/ | https://www.facebook.com/tr?id=278502237844818&ev=pageview&noscript=1,clínica de estética,,,https://personaestetica.com/
,,,Juiz de Fora MG,,,12.702.497/0001-79,Especialistas em medicina estética em Juiz de Fora · Dra. Fabiana Oliveira · Dra. Lucilia Brigato Paviato · Dra. Andréa Moraes · Dr. Diego Macário ...,,,,Especialista Em Medicina Estética Juiz de Fora,,,https://www.facebook.com/doctoralia.br/ | https://www.instagram.com/doctoralia_br/ | https://www.linkedin.com/company/doctoralia-brasil/,clínica estética,,,https://www.doctoralia.com.br/especialista-em-medicina-estetica/juiz-de-fora
,,,Juiz de Fora MG,,,35.387.391/0001-23,"Aqui no consultório, minha missão é valorizar a sua beleza natural com técnicas seguras, conforto e um resultado do jeitinho que você deseja: Sutil ...",,,,Fabiana Mello Clínica de Estética Avançada - Facebook,,,https://www.facebook.com/p/fabiana-mello-cl&#xed;nica-de-est&#xe9;tica-avan&#xe7;ada-100066575153021/,clínica de estética,,,https://www.facebook.com/p/Fabiana-Mello-Cl%C3%ADnica-de-Est%C3%A9tica-Avan%C3%A7ada-100066575153021/
,,,Juiz de Fora MG,,,54.634.835/0001-22,"Vitalità | Clínica de Estética | Juiz de Fora. 2,612 followers. 1,853 following. Estética humanizada com foco em vitalidade, saúde mental e bem-estar.",,,,Vitalità | Clínica de Estética | Juiz de Fora (@vitalitajf),,,https://www.instagram.com/vitalitajf/ | https://www.instagram.com/vitalitajf/?hl=en | https://www.instagram.com/vitalitajf/?hl=fr | https://www.instagram.com/vitalitajf/?hl=it | https://www.instagram.com/vitalitajf/?hl=de | https://www.instagram.com/vitalitajf/?hl=es | https://www.instagram.com/vitalitajf/?hl=zh-cn | https://www.instagram.com/vitalitajf/?hl=zh-tw | https://www.instagram.com/vitalitajf/?hl=ja | https://www.instagram.com/vitalitajf/?hl=ko | https://www.instagram.com/vitalitajf/?hl=pt | https://www.instagram.com/vitalitajf/?hl=pt-br | https://www.instagram.com/vitalitajf/?hl=af | https://www.instagram.com/vitalitajf/?hl=cs | https://www.instagram.com/vitalitajf/?hl=da | https://www.instagram.com/vitalitajf/?hl=el | https://www.instagram.com/vitalitajf/?hl=fi | https://www.instagram.com/vitalitajf/?hl=hr | https://www.instagram.com/vitalitajf/?hl=hu | https://www.instagram.com/vitalitajf/?hl=id | https://www.instagram.com/vitalitajf/?hl=ms | https://www.instagram.com/vitalitajf/?hl=nb | https://www.instagram.com/vitalitajf/?hl=nl | https://www.instagram.com/vitalitajf/?hl=pl | https://www.instagram.com/vitalitajf/?hl=ru | https://www.instagram.com/vitalitajf/?hl=sk | https://www.instagram.com/vitalitajf/?hl=sv | https://www.instagram.com/vitalitajf/?hl=th | https://www.instagram.com/vitalitajf/?hl=tl | https://www.instagram.com/vitalitajf/?hl=tr | https://www.instagram.com/vitalitajf/?hl=hi | https://www.instagram.com/vitalitajf/?hl=bn | https://www.instagram.com/vitalitajf/?hl=gu | https://www.instagram.com/vitalitajf/?hl=kn | https://www.instagram.com/vitalitajf/?hl=ml | https://www.instagram.com/vitalitajf/?hl=mr | https://www.instagram.com/vitalitajf/?hl=pa | https://www.instagram.com/vitalitajf/?hl=ta | https://www.instagram.com/vitalitajf/?hl=te | https://www.instagram.com/vitalitajf/?hl=ne | https://www.instagram.com/vitalitajf/?hl=si | https://www.instagram.com/vitalitajf/?hl=vi | https://www.instagram.com/vitalitajf/?hl=bg | https://www.instagram.com/vitalitajf/?hl=fr-ca | https://www.instagram.com/vitalitajf/?hl=ro | https://www.instagram.com/vitalitajf/?hl=sr | https://www.instagram.com/vitalitajf/?hl=uk | https://www.instagram.com/vitalitajf/?hl=zh-hk | https://www.instagram.com/vitalitajf/?hl=es-la | https://www.instagram.com/vitalitajf/?hl=he | https://www.instagram.com/vitalitajf/?hl=fa | https://www.instagram.com/vitalitajf/?hl=ar | https://www.instagram.com/vitalitajf/?hl=ur | https://www.instagram.com/vitalitajf/?hl=en-gb | https://www.instagram.com/vitalitajf/?hl=sw-ke | https://www.instagram.com/vitalitajf/?hl=ha-ng | https://www.instagram.com/vitalitajf/?hl=am-et | https://www.instagram.com/vitalitajf/?hl=om-et | https://instagram.com/_u/vitalitajf/,clínica de estética,,,https://www.instagram.com/vitalitajf/
,,,Juiz de Fora MG,,,14.345.836/0001-32,"Bem vinda, somos a Up Estetica, um espaço onde os melhores profissionais de estética prestam seus atendimentos. ... Rua dos Inconfidentes, 107, Manoel Honório, ...",,,,Up Estética - Clínica de Estética - Manoel Honório - Juiz de ...,,,https://www.facebook.com/trinksoficial/ | https://www.instagram.com/trinksoficial,clínica de estética,,,https://www.trinks.com/up-estetica
,,,Juiz de Fora MG,,,49.128.936/0001-91,"Aqui no consultório, minha missão é valorizar a sua beleza natural com técnicas seguras, conforto e um resultado do jeitinho que você deseja: Sutil ...",,,,Fabiana Mello Clínica de Estética Avançada,,,https://www.facebook.com/p/fabiana-mello-cl&#xed;nica-de-est&#xe9;tica-avan&#xe7;ada-100066575153021/,clínica estética,,,https://www.facebook.com/p/Fabiana-Mello-Cl%C3%ADnica-de-Est%C3%A9tica-Avan%C3%A7ada-100066575153021/
01/03/2016,50000.00,5000000.0,Juiz de Fora MG,96.02-5-02,00.00-0-00,24.288.493/0001-75,"Av. Rio Branco nº 2370 sala 504 – Centro, Juiz de Fora – MG (32)9165-7533 / 98872-8490.",contato@esteticamauri.com.br,"AVENIDA BARAO DO RIO BRANCO, 2370 - CENTRO - JUIZ DE FORA MG",,Estética Mauri - Av. Rio Branco nº 2370 sala 504 – Centro ...,MICRO EMPRESA,MAURIZELIA FERREIRA BARBOSA 00570182603,https://www.instagram.com/esteticamauri/,clínica de estética,ATIVA,(32) 3211-2589,https://www.esteticamauri.com.br/
12/09/2018,10000.00,1000000.0,Juiz de Fora MG,77.40-3-00,"64.62-0-00, 74.90-1-04, 82.11-3-00",31.485.929/0001-81,A Royal Face é referência em harmonização Facial em todo Brasil! A clínica Royal Face em Juiz de Fora oferece mais de 40 procedimentos de Harmonização Facial e ...,dep.financeiro@royalface.com.br,"AVENIDA IBIRAPUERA, 2332 - INDIANOPOLIS - SAO PAULO SP",ROYAL FACE,Royal Face Juiz de Fora,DEMAIS,ROYAL FACE FRANCHISING S.A.,https://www.instagram.com/royalfaceoficial/ | https://www.facebook.com/royalfacebrasil/ | https://www.youtube.com/channel/uc2wyya6gyrftykwvtzybehq,clínica de estética,ATIVA,(17) 3012-7878,https://royalface.com.br/unidade/clinica-de-estetica-em-juiz-de-fora2-mg/
