abertura,capital,capital_social,cnae_principal,cnaes_secundarios,cnpj,descricao,email,endereco_receita,facebook,instagram,lead_score,linkedin,municipio,nome,nome_fantasia,porte,razao_social,status,telefone,telefone_receita,termo_busca,url,whatsapp
,0,,,,,""" clinica odontologica juiz de fora "". facetas de resina valor. tratamento de canal em dente de leite.Prótese. clareamento a laser. "" clinicas odontologicas em juiz de fora "".",juizdefora@redeodonto.com.br,,,,8,https://www.linkedin.com/company/cloverdale-funeral-home-cemetery-and-crematory,,Clínica Edu Vilela | Juiz de Fora | Minas Gerais,,,,,(32) 3112-0386,,clinica odontológica Juiz de fora MG,https://conteudo.redeodonto.com.br/edu-vilela-jf,2008-2012
,0,,,,,"Dentista em Juiz de Fora , Clínica Odontológica : Implante dental, Lentes de contato, Clareamento dental, Facetas de porcelana, aparelho fixo em Santa Terezinha | Clinica Studio |",,,,,6,https://br.linkedin.com/in/ian-rocha-99756b209,,Dentista | Juiz de Fora | Clínica Studio,,,,,(32)3224-7851,,clinica odontológica Juiz de fora MG,https://www.clinicastudio.com/,(32)3224-7851
,0,,,,,"Localização. Rua Henrique Dias, 196, sl 101, Benfica, 36090-290, Juiz De Fora - MG . Seja o primeiro a avaliar este local!",,,https://www.facebook.com/reel/932712972151507/,https://www.instagram.com/agustin2025/,7,,,"Secnil Cob Clínica Odontológica - Benfica - Benfica, Juiz De Fora , MG",,,,,32 3222-2662,,clinica odontológica Juiz de fora MG,https://www.apontador.com.br/local/mg/juiz_de_fora/servicos_odontologicos/7E42J6X7/secnil_cob_clinica_odontologica_benfica.html,+55 32 3222-2662
,0,,,,,"Santer Centro Odontológico: referência como clínica odontológica e dentista em Juiz de Fora . Implantes, facetas, alinhadores invisíveis e odontologia digital. Agende!",,,,,6,https://br.linkedin.com/in/marcio-yoshidome-16378b8b,,Santer Centro Odontológico — Dentista e Clínica Odontológica em Juiz de ...,,,,,(32) 3234-9895,,clinica odontológica Juiz de fora MG,https://www.santer.com.br/,(32) 3234-9895
27/10/2010,9600010000.0,96000100.00,64.63-8-00,77.40-3-00,12.817.681/0001-64,Dentista/ Clínica Odontológica OdontoCompany em Juiz de Fora - Centro. Clique e agende agora sua avaliação!,controladoria@odontocompany.com,"AV IBIRAPUERA, 2332 - INDIANOPOLIS - SAO PAULO SP",,,8,,,Dentista/Clínica Odontológica OdontoCompany em Juiz de Fora - Centro,,DEMAIS,ODONTOCOMPANY FRANCHISING S.A.,ATIVA,(32) 98883-1000,(11) 3164-9779/ (11) 3049-0050,clinica odontológica Juiz de fora MG,https://odontocompany.com/juizdeforacentro,(32) 98883-1000
,0,,,,,"Sobre mim: Dra. Renata Modesto - Odontologia com Excelência e Cuidado Sou formada em Odontologia pela Universidade Federal de Juiz de Fora (UFJF) e, ao longo dos meus 18 anos de experiência, tenho me dedicado a oferecer tratamentos de qualidade, com atenção personalizada e técnicas atualizadas.",renascerodontologia23@gmail.com,,,,8,https://br.linkedin.com/company/vk-odonto,,Renascer Odontologia | Clínica odontológica | Rua Batista de Oliveira ...,,,,,32 9999-9023,,clinica odontológica Juiz de fora MG,https://www.renascerodontologia.com/,32 9999-9023
,0,,,,99.999.999/9999-99,"Clínica Odontológica localizada na zona norte de Juiz de Fora , local calmo e tranquilo oferecendo tratamentos odontológicos em todas especialidades sendo estes tratamentos oferecidos executados por profissionais especialistas...",contato@jfempregos.com.br,,,,8,https://br.linkedin.com/in/marcos-otávio-da-silva-2679172aa,,JF Empregos - Vagas de Emprego em Juiz de Fora,,,,,(32) 98415-3518,,clinica odontológica Juiz de fora MG,https://jfempregos.com.br/vaga/103671,(32) 98415-3518
,0,,,,,Acm assistência técnica odontologica . Juiz de fora - mg . Téc. responsável: ANTONIO CARLOS.,equiposeniorat@gmail.com,,,,8,https://br.linkedin.com/company/odontoway,,Assistência Técnica - Odontoway,,,,,(32) 3216-3119,,clinica odontológica Juiz de fora MG,https://odontowayequipamentos.com.br/assistencia-tecnica/,(32) 3216-3119
,0,,,,,"Somos uma Clínica de Saúde em Juiz de Fora que oferece atendimentos médicos, consultas e exames em Juiz de Fora , Minas Gerais.",contato@serclinicadesaude.com.br,,,,8,https://br.linkedin.com/in/paula-lamarca,,Exames e Procedimentos - SER - Clínica de Saúde em Juiz de Fora - MG,,,,,(32) 3321-4000,,procedimentos saude de alto valor Juiz de fora MG,https://www.serclinicadesaude.com.br/exames-e-procedimentos.php,(32) 3321-4000
,0,,,,,"O Hospital Localizado no coração de Juiz de Fora , somos referência hospitalar para toda a cidade, com cerca de 565 mil habitantes, e para outros 94 municípios da Macrorregião, abrangendo um total de aproximadamente 1,6 milhão de pessoas atendidas. O hospital oferece uma estrutura completa e assistência de alta qualidade, com foco na humanização do atendimento, na segurança do ...",ouvidoria@grupohsvp.com.br,,,,7,,,Página inicial | HSVP - Instituto de Saúde,,,,,(32) 2102-2059,,procedimentos saude de alto valor Juiz de fora MG,http://institutohsvp.com.br/,2102-2000
